Reading 1 X,Reading 1 Y,Slope (m),Intercept (c),Temp (C),Reading 2 X,Reading 2 Y,Slope (m),Intercept (c),Temp (C),Reading 3 X,Reading 3 Y,Slope (m),Intercept (c),Temp (C),Reading 4 X,Reading 4 Y,Slope (m),Intercept (c),Temp (C),Reading 5 X,Reading 5 Y,Slope (m),Intercept (c),Temp (C)
7383.5,0,0,0,55,29703,0,0,0,55,3511,0,0,0,55,3394,0,0,0,55,3206.5,0,0,0,55
14619,100,0.013820745,-102.0454703,29720.5,100,5.714285714,-169731.4286,5529.5,100,0.049541739,-173.9410453,5356,100,0.0509684,-172.9867482,5584,100,0.042060988,-134.8685594,,,,,
15290.5,100,0.013130395,-96.5572784,29753,100,1.747572816,-51880.80906,5700,100,0.047301145,-165.7475096,5429.5,100,0.04998058,-169.5665437,5736,100,0.040641113,-130.1243736,,,,,
15424,100,0.012833848,-94.14049116,29725.5,100,1.747572816,-51872.47573,5728.5,100,0.046380338,-162.339783,5460.5,100,0.049379459,-167.4531429,5814,100,0.039692012,-126.8388439,,,,,
24125,210,0.012493781,-90.00942708,29744,210,2.720809582,-80785.49222,7846.5,210,0.048330667,-171.7014007,7428,210,0.05201734,-179.6010739,8238,210,0.041651722,-136.06875,,,,,
24299,210,0.012365472,-88.44270201,29778.5,210,2.421440271,-71887.37828,7844.5,210,0.048679833,-173.3771295,7390,210,0.052767747,-183.0451707,8318.5,210,0.041603079,-135.838134,,,,,
33712.5,300,0.011454769,-74.95938955,29790,300,2.819987049,-83734.59907,9842,300,0.047955375,-169.4347366,9304,300,0.051684011,-177.3993827,10545,300,0.041293572,-134.1499479,,,,,
34500,300,0.011042467,-68.76005876,29787,300,2.99481628,-88931.34585,10003,300,0.047103408,-164.7532967,9452.5,300,0.050684683,-172.1450048,10718.5,300,0.040692167,-130.8345971,,,,,
44573,400,0.010615161,-61.2071375,29769,400,3.376858647,-100278.1254,12289,400,0.046017267,-158.0781399,11564,400,0.049526548,-165.3617187,13469.5,400,0.039540727,-123.5891428,,,,,
45304,400,0.010370126,-56.82528742,29782.5,400,3.71310214,-110272.4681,12365,400,0.045441397,-154.5257653,11621.5,400,0.048948181,-161.9641024,13484.5,400,0.039107303,-120.8598518,,,,,
58436.5,500,0.009793268,-44.63617368,29744,500,3.3260847,-98727.04946,14618,500,0.044960464,-151.2452854,13704.5,500,0.048478,-158.9169035,16083.5,500,0.038762691,-118.4278882,,,,,
58404.5,500,0.009570328,-39.92728493,29755,500,3.345828893,-99292.90817,14555,500,0.044848671,-150.4849347,13718.5,500,0.048242288,-157.3882577,16167,500,0.038507883,-116.6231389,,,,,
75997.5,600,0.008872065,-22.36811372,29751.5,600,3.241560561,-96163.61312,17107.5,600,0.044264841,-146.0735947,15984.5,600,0.047729483,-153.7192349,19041.5,600,0.038010812,-112.6862916,,,,,
75088,600,0.008626094,-16.23611429,29804,600,3.877794813,-115085.6002,17061,600,0.044027206,-144.281407,15931.5,600,0.047542803,-152.3866129,19059,600,0.037746566,-110.5920503,,,,,
83493.5,640,0.008308866,-7.587549662,29774,640,4.238454452,-125800.5104,18148.5,640,0.043686875,-141.5855441,16939,640,0.047221407,-149.9780001,20280,640,0.037451463,-108.1284043,,,,,
91038,680,0.008013726,1.053801364,29766,680,4.428442498,-131434.489,19116,680,0.043411487,-139.3114469,17838,680,0.046950217,-147.8602021,21514,680,0.037142094,-105.4144246,,,,,
96437.5,700,0.007745022,9.323325914,29775.5,700,4.791493238,-142222.7431,19607.5,700,0.043204496,-137.5644223,18304,700,0.046733381,-146.1292316,22008.5,700,0.036962702,-103.8080999,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TEMP = 55 F,,,,,,,,,,,,,,,,,,,,,,,,
CORE 1,,,,,,,,,,,,,,,,,,,,,,,,
