Reading 1 X,Reading 1 Y,Slope (m),Intercept (c),Reading 2 X,Reading 2 Y,Slope (m),Intercept (c),Reading 3 X,Reading 3 Y,Slope (m),Intercept (c),Reading 4 X,Reading 4 Y,Slope (m),Intercept (c),Reading 5 X,Reading 5 Y,Slope (m),Intercept (c)
7251.5,0,0,0,29803,0,0,0,3479,0,0,0,3351.5,0,0,0,3149,0,0,0
7336.5,0,0,0,29818,0,0,0,3502,0,0,0,3380.5,0,0,0,3122.5,0,0,0
7313.5,0,0,0,29754,0,0,0,3492,0,0,0,3356.5,0,0,0,3133.5,0,0,0
16436,120,0.013134759,-95.88845361,29799,120,0.289346778,-8590.653222,5983.5,120,0.048141685,-168.0609096,5685.5,120,0.051658616,-173.7157531,6067.5,120,0.040918467,-128.2777454
16739,120,0.012915077,-94.2634496,29786,120,0.051590714,-1488.990542,6034.5,120,0.04764706,-166.3260072,5768,120,0.050733827,-170.5816201,6098,120,0.040705816,-127.6089593
23059,200,0.012756527,-92.78960905,29841,200,1.46219329,-43500.27041,7603,200,0.048319469,-169.0210175,7168.5,200,0.051948966,-175.2467972,7893.5,200,0.04159589,-130.9302159
23479,200,0.012567187,-91.00119695,29814.5,200,1.750606748,-52080.52886,7701.5,200,0.047991295,-167.6935683,7285.5,200,0.051582703,-173.8244265,8095.5,200,0.041063701,-128.9045816
32560.5,300,0.012090865,-85.28647853,29799.5,300,1.638253638,-48705.53015,9776,300,0.047845471,-167.0101029,9180,300,0.051614165,-173.9651904,10471,300,0.040972546,-128.4914864
32686,300,0.011921495,-83.24806697,29832.5,300,2.312451261,-68785.4744,9796.5,300,0.047732544,-166.4800641,9201,300,0.051547482,-173.66638,10445.5,300,0.041001408,-128.6220397
45062,400,0.011040062,-69.96430145,29820.5,400,2.872685352,-85461.55775,12321,400,0.046347462,-158.9908274,11559.5,400,0.050011829,-165.7604931,13478.5,400,0.039677867,-121.5001079
45149,400,0.01072723,-65.24277375,29808.5,400,2.936993117,-87357.36581,12300.5,400,0.045855557,-156.3340142,11565.5,400,0.049405119,-162.635961,13398,400,0.039295444,-119.4513108
58244,500,0.010112665,-54.05708913,29804,500,2.779610992,-82639.38746,14599.5,500,0.045304905,-152.9962907,13718,500,0.048721144,-158.6952302,16119.5,500,0.038792874,-116.3658723
59784,500,0.00973471,-47.03765779,29784.5,500,1.587037806,-47067.81567,14617,500,0.045019629,-151.265602,13642.5,500,0.048523437,-157.5606873,16070.5,500,0.03860685,-115.2265876
75032,600,0.009149985,-34.19293846,29785,600,0.430432109,-12568.41411,17274,600,0.044217922,-145.7941871,16081,600,0.047782296,-152.7827236,19154.5,600,0.037976503,-110.8052911
74916.5,600,0.00888823,-28.4501351,29821,600,1.241026512,-36705.79759,17226,600,0.043852703,-143.3067995,16076,600,0.047401398,-150.3277239,19193.5,600,0.037618215,-108.2881526
