le2

#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    34.4500	     1.1509	  1336.3099	   170.8669	  1507.1769	  2374.6700	  2374.6700	  2364.7400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
    8.4500	    34.4500	     1.1445	  1311.8841	   231.9172	  1543.8013	  2389.5200	  2389.5200	  2378.9800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   16.9100	    34.4500	     1.1394	  1293.5381	   272.9381	  1566.4762	  2400.4300	  2400.4300	  2387.6600	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   25.3600	    34.4500	     1.1359	  1280.6829	   305.7538	  1586.4367	  2408.3000	  2408.3000	  2395.2300	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   33.8200	    34.4500	     1.1339	  1273.3050	   324.8623	  1598.1673	  2412.8300	  2412.8300	  2399.6500	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   42.2700	    34.4500	     1.1332	  1271.0294	   328.6975	  1599.7268	  2414.1200	  2414.1200	  2400.2400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   50.7300	    34.4500	     1.1332	  1271.0294	   328.6975	  1599.7268	  2414.1200	  2414.1200	  2400.2400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   59.1800	    34.4500	     1.1332	  1271.0294	   328.6975	  1599.7268	  2414.1200	  2414.1200	  2400.2400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   67.6400	    34.4500	     1.1332	  1271.0294	   328.6975	  1599.7268	  2414.1200	  2414.1200	  2400.2400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   76.0900	    34.4500	     1.1332	  1271.0294	   328.6975	  1599.7268	  2414.1200	  2414.1200	  2400.2400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   84.5500	    34.4500	     1.1332	  1271.0294	   328.6975	  1599.7268	  2414.1200	  2414.1200	  2400.2400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   93.0000	    34.4500	     1.1332	  1271.0294	   328.6975	  1599.7268	  2414.1200	  2414.1200	  2400.2400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  101.4600	    34.4500	     1.1332	  1271.0294	   328.6975	  1599.7268	  2414.1200	  2414.1200	  2400.2400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  109.9100	    34.4500	     1.1332	  1271.0294	   328.6975	  1599.7268	  2414.1200	  2414.1200	  2400.2400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  118.3600	    34.4500	     1.1332	  1271.0294	   328.6975	  1599.7268	  2414.1200	  2414.1200	  2400.2400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  126.8200	    34.4500	     1.1332	  1271.0294	   328.6975	  1599.7268	  2414.1200	  2414.1200	  2400.2400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  135.2700	    34.4500	     1.1332	  1271.0294	   328.6975	  1599.7268	  2414.1200	  2414.1200	  2400.2400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  135.2700	    34.4500	     1.1332	  1271.0945	   328.7463	  1599.8408	  2414.0900	  2414.0900	  2400.2800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  140.3500	    34.2700	     1.1464	  1280.7248	   330.6796	  1611.4044	  2418.5700	  2418.5700	  2404.6000	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  145.4300	    33.7100	     1.1857	  1311.8563	   328.4166	  1640.2729	  2429.3500	  2429.3500	  2415.3000	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  150.5100	    32.7800	     1.2558	  1367.3147	   315.1974	  1682.5120	  2447.0000	  2447.0000	  2430.7000	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  155.5900	    31.4500	     1.3682	  1450.0544	   309.6024	  1759.6568	  2475.9500	  2475.9500	  2458.1000	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  160.6700	    29.7000	     1.5404	  1572.0785	   292.7892	  1864.8677	  2515.2000	  2515.2000	  2494.0500	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  165.7500	    27.4900	     1.8032	  1743.1852	   269.2883	  2012.4736	  2569.0600	  2569.0600	  2542.0000	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  170.8300	    24.7800	     2.2249	  1988.0673	   239.8412	  2227.9086	  2642.2200	  2642.2200	  2607.4500	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  175.9100	    21.8500	     2.8472	  2299.3850	   195.1233	  2494.5084	  2728.1500	  2728.1500	  2682.1800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  180.9900	    18.9200	     3.7042	  2646.5005	   154.0662	  2800.5667	  2821.2900	  2821.2900	  2760.9200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  186.0700	    15.9800	     4.8617	  3022.8183	   108.4909	  3131.3092	  2914.0000	  2914.0000	  2839.0600	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  191.1500	    13.7500	     5.9402	  3317.8853	    63.8821	  3381.7674	  2977.2100	  2977.2100	  2894.2000	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  196.4400	    13.0200	     6.1608	  3379.6684	    38.8935	  3418.5619	  2987.1800	  2987.1800	  2902.0400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  206.6000	    15.9000	     4.1010	  2852.1220	     2.1216	  2854.2436	  2840.2900	  2840.2900	  2774.0600	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  216.7500	    19.0100	     2.8410	  2380.5185	     3.7401	  2384.2586	  2697.8400	  2697.8400	  2652.0400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  226.9100	    22.1100	     2.0385	  1981.8194	     3.3648	  1985.1842	  2563.5500	  2563.5500	  2533.3300	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  243.6100	    27.2200	     1.2678	  1478.7105	     4.7881	  1483.4987	  2369.3600	  2369.3600	  2355.4000	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
